Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)	DAQ thermistor T (K)
5:41:59.562 PM 10/16/2022 	 4.442413 	 297.647000 	 44.546000 	 -120.631124 	 4.463413 	 297.647000 	 44.546000 	 -120.631124 	 99.160180 	 108.986638 	 301.615089
5:42:00.064 PM 10/16/2022 	 4.436005 	 297.647000 	 44.546000 	 -120.681936 	 4.456700 	 297.647000 	 44.546000 	 -120.681936 	 99.159882 	 108.986638 	 301.614428
5:42:00.562 PM 10/16/2022 	 4.443336 	 297.647000 	 44.546000 	 -119.795168 	 4.459837 	 297.647000 	 44.546000 	 -119.795168 	 99.159942 	 108.986757 	 301.614533
5:42:01.062 PM 10/16/2022 	 4.440127 	 297.647000 	 44.546000 	 -119.795168 	 4.465942 	 297.647000 	 44.546000 	 -119.795168 	 99.159942 	 108.986757 	 301.614533
5:42:01.563 PM 10/16/2022 	 4.434958 	 297.647000 	 44.546000 	 -119.952896 	 4.455207 	 297.647000 	 44.546000 	 -119.952896 	 99.160180 	 108.986757 	 301.614296
5:42:02.062 PM 10/16/2022 	 4.438015 	 297.647000 	 44.546000 	 -119.952896 	 4.461414 	 297.647000 	 44.546000 	 -119.952896 	 99.160180 	 108.986757 	 301.614296
5:42:02.562 PM 10/16/2022 	 4.441971 	 297.647000 	 44.546000 	 -121.173297 	 4.461341 	 297.647000 	 44.546000 	 -121.173297 	 99.160656 	 108.986578 	 301.614243
5:42:03.062 PM 10/16/2022 	 4.437805 	 297.647000 	 44.546000 	 -121.581858 	 4.466955 	 297.647000 	 44.546000 	 -121.581858 	 99.160061 	 108.986697 	 301.614031
5:42:03.562 PM 10/16/2022 	 4.442783 	 297.647000 	 44.546000 	 -121.581858 	 4.459389 	 297.647000 	 44.546000 	 -121.581858 	 99.160061 	 108.986697 	 301.614031
5:42:04.062 PM 10/16/2022 	 4.435577 	 297.647000 	 44.546000 	 -120.126856 	 4.466652 	 297.647000 	 44.546000 	 -120.126856 	 99.160120 	 108.986936 	 301.614163
5:42:04.562 PM 10/16/2022 	 4.442120 	 297.647000 	 44.546000 	 -120.673322 	 4.463058 	 297.647000 	 44.546000 	 -120.673322 	 99.159882 	 108.986400 	 301.613688
5:42:05.062 PM 10/16/2022 	 4.435045 	 297.647000 	 44.546000 	 -120.673322 	 4.462849 	 297.647000 	 44.546000 	 -120.673322 	 99.159882 	 108.986400 	 301.613688
5:42:05.563 PM 10/16/2022 	 4.433596 	 297.647000 	 44.546000 	 -121.075911 	 4.463929 	 297.647000 	 44.546000 	 -121.075911 	 99.159823 	 108.986400 	 301.613608
5:42:06.062 PM 10/16/2022 	 4.442506 	 297.647000 	 44.546000 	 -121.075911 	 4.471620 	 297.647000 	 44.546000 	 -121.075911 	 99.159823 	 108.986400 	 301.613608
5:42:06.562 PM 10/16/2022 	 4.437625 	 297.647000 	 44.546000 	 -119.919707 	 4.467461 	 297.647000 	 44.546000 	 -119.919707 	 99.160001 	 108.986817 	 301.613635
5:42:07.062 PM 10/16/2022 	 4.440630 	 297.647000 	 44.546000 	 -121.112413 	 4.459127 	 297.647000 	 44.546000 	 -121.112413 	 99.160001 	 108.986638 	 301.613265
5:42:07.562 PM 10/16/2022 	 4.442323 	 297.647000 	 44.546000 	 -121.112413 	 4.473267 	 297.647000 	 44.546000 	 -121.112413 	 99.160001 	 108.986638 	 301.613265
5:42:08.062 PM 10/16/2022 	 4.446591 	 297.647000 	 44.546000 	 -121.511895 	 4.468026 	 297.647000 	 44.546000 	 -121.511895 	 99.159584 	 108.986638 	 301.612789
5:42:08.562 PM 10/16/2022 	 4.434405 	 297.647000 	 44.546000 	 -120.548246 	 4.461021 	 297.647000 	 44.546000 	 -120.548246 	 99.159942 	 108.986876 	 301.612736
5:42:09.061 PM 10/16/2022 	 4.440380 	 297.647000 	 44.546000 	 -121.027680 	 4.455230 	 297.647000 	 44.546000 	 -121.027680 	 99.159703 	 108.986578 	 301.612815
5:42:09.562 PM 10/16/2022 	 4.438195 	 297.647000 	 44.546000 	 -121.027680 	 4.456351 	 297.647000 	 44.546000 	 -121.027680 	 99.159703 	 108.986578 	 301.612815
5:42:10.062 PM 10/16/2022 	 4.427510 	 297.647000 	 44.546000 	 -121.284460 	 4.460102 	 297.647000 	 44.546000 	 -121.284460 	 99.159942 	 108.986400 	 301.612710
5:42:10.563 PM 10/16/2022 	 4.439112 	 297.647000 	 44.546000 	 -120.702402 	 4.466009 	 297.647000 	 44.546000 	 -120.702402 	 99.159584 	 108.987293 	 301.612578
5:42:11.063 PM 10/16/2022 	 4.437715 	 297.647000 	 44.546000 	 -121.158455 	 4.464639 	 297.647000 	 44.546000 	 -121.158455 	 99.159703 	 108.986817 	 301.612710
5:42:11.562 PM 10/16/2022 	 4.440435 	 297.647000 	 44.546000 	 -120.245168 	 4.459511 	 297.647000 	 44.546000 	 -120.245168 	 99.159882 	 108.986757 	 301.612472
5:42:12.062 PM 10/16/2022 	 4.432645 	 297.647000 	 44.546000 	 -120.245168 	 4.452713 	 297.647000 	 44.546000 	 -120.245168 	 99.159882 	 108.986757 	 301.612472
5:42:12.562 PM 10/16/2022 	 4.436779 	 297.647000 	 44.546000 	 -120.322476 	 4.454744 	 297.647000 	 44.546000 	 -120.322476 	 99.159942 	 108.986936 	 301.612155
5:42:13.062 PM 10/16/2022 	 4.435248 	 297.647000 	 44.546000 	 -120.322476 	 4.459319 	 297.647000 	 44.546000 	 -120.322476 	 99.159942 	 108.986936 	 301.612155
5:42:13.562 PM 10/16/2022 	 4.421137 	 297.647000 	 44.546000 	 -120.125592 	 4.462308 	 297.647000 	 44.546000 	 -120.125592 	 99.160061 	 108.987055 	 301.611864
5:42:14.063 PM 10/16/2022 	 4.444130 	 297.647000 	 44.546000 	 -120.125592 	 4.461353 	 297.647000 	 44.546000 	 -120.125592 	 99.160061 	 108.987055 	 301.611864
