Timestamp                  	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 raw R (Ohm)	RTD1 raw R (Ohm)
9:07:58.754 PM 10/14/2022 	 4.002394 	 297.647000 	 44.546000 	 -86.550093 	 4.023648 	 297.647000 	 44.546000 	 -86.550093 	 99.781212 	 109.035005
9:08:10.753 PM 10/14/2022 	 3.998146 	 297.647000 	 44.546000 	 -87.587924 	 4.020948 	 297.647000 	 44.546000 	 -87.587924 	 99.779544 	 109.034588
9:08:22.754 PM 10/14/2022 	 3.995255 	 297.647000 	 44.546000 	 -86.616989 	 4.019202 	 297.647000 	 44.546000 	 -86.616989 	 99.777579 	 109.033992
9:08:34.753 PM 10/14/2022 	 3.983849 	 297.647000 	 44.546000 	 -87.237478 	 4.019365 	 297.647000 	 44.546000 	 -87.237478 	 99.776090 	 109.033933
9:08:46.503 PM 10/14/2022 	 3.995171 	 297.647000 	 44.546000 	 -86.242755 	 4.017063 	 297.647000 	 44.546000 	 -86.242755 	 99.774184 	 109.033575
9:08:58.253 PM 10/14/2022 	 3.995357 	 297.647000 	 44.546000 	 -87.895083 	 4.020491 	 297.647000 	 44.546000 	 -87.895083 	 99.772755 	 109.032920
9:09:10.004 PM 10/14/2022 	 3.984858 	 297.647000 	 44.546000 	 -87.039056 	 4.027682 	 297.647000 	 44.546000 	 -87.039056 	 99.771266 	 109.032622
9:09:22.003 PM 10/14/2022 	 4.002772 	 297.647000 	 44.546000 	 -86.667281 	 4.015422 	 297.647000 	 44.546000 	 -86.667281 	 99.769360 	 109.032622
9:09:34.003 PM 10/14/2022 	 3.995438 	 297.647000 	 44.546000 	 -85.845563 	 4.019621 	 297.647000 	 44.546000 	 -85.845563 	 99.768347 	 109.032563
9:09:45.754 PM 10/14/2022 	 4.006062 	 297.647000 	 44.546000 	 -86.597497 	 4.014936 	 297.647000 	 44.546000 	 -86.597497 	 99.766322 	 109.032027
9:09:57.753 PM 10/14/2022 	 3.999397 	 297.647000 	 44.546000 	 -86.214853 	 4.018422 	 297.647000 	 44.546000 	 -86.214853 	 99.765071 	 109.031967
9:10:09.753 PM 10/14/2022 	 3.992887 	 297.647000 	 44.546000 	 -86.557982 	 4.022895 	 297.647000 	 44.546000 	 -86.557982 	 99.763106 	 109.031848
9:10:21.753 PM 10/14/2022 	 3.993664 	 297.647000 	 44.546000 	 -86.621668 	 4.015043 	 297.647000 	 44.546000 	 -86.621668 	 99.762034 	 109.031252
9:10:34.003 PM 10/14/2022 	 3.996049 	 297.647000 	 44.546000 	 -86.580944 	 4.011927 	 297.647000 	 44.546000 	 -86.580944 	 99.760068 	 109.031133
9:10:46.003 PM 10/14/2022 	 3.991488 	 297.647000 	 44.546000 	 -86.147487 	 4.024134 	 297.647000 	 44.546000 	 -86.147487 	 99.758818 	 109.030657
9:10:58.003 PM 10/14/2022 	 3.996811 	 297.647000 	 44.546000 	 -87.304265 	 4.015186 	 297.647000 	 44.546000 	 -87.304265 	 99.757448 	 109.030716
9:11:10.253 PM 10/14/2022 	 3.994117 	 297.647000 	 44.546000 	 -87.646569 	 4.019181 	 297.647000 	 44.546000 	 -87.646569 	 99.755661 	 109.030895
9:11:22.253 PM 10/14/2022 	 4.006457 	 297.647000 	 44.546000 	 -86.938104 	 4.015774 	 297.647000 	 44.546000 	 -86.938104 	 99.754053 	 109.030716
9:11:34.253 PM 10/14/2022 	 3.996104 	 297.647000 	 44.546000 	 -86.946563 	 4.012206 	 297.647000 	 44.546000 	 -86.946563 	 99.752921 	 109.030240
9:11:46.253 PM 10/14/2022 	 3.994720 	 297.647000 	 44.546000 	 -87.359013 	 4.015631 	 297.647000 	 44.546000 	 -87.359013 	 99.751313 	 109.030002
9:11:58.253 PM 10/14/2022 	 4.002586 	 297.647000 	 44.546000 	 -87.038044 	 4.016198 	 297.647000 	 44.546000 	 -87.038044 	 99.749884 	 109.029585
9:12:10.253 PM 10/14/2022 	 3.994170 	 297.647000 	 44.546000 	 -87.344450 	 4.019475 	 297.647000 	 44.546000 	 -87.344450 	 99.748216 	 109.029108
9:12:22.253 PM 10/14/2022 	 3.986051 	 297.647000 	 44.546000 	 -86.444881 	 4.025490 	 297.647000 	 44.546000 	 -86.444881 	 99.746250 	 109.028870
9:12:34.254 PM 10/14/2022 	 3.989233 	 297.647000 	 44.546000 	 -87.107710 	 4.013486 	 297.647000 	 44.546000 	 -87.107710 	 99.745238 	 109.028215
9:12:46.253 PM 10/14/2022 	 3.994030 	 297.647000 	 44.546000 	 -86.531523 	 4.011449 	 297.647000 	 44.546000 	 -86.531523 	 99.743451 	 109.028512
9:12:58.503 PM 10/14/2022 	 3.988768 	 297.647000 	 44.546000 	 -86.479075 	 4.020377 	 297.647000 	 44.546000 	 -86.479075 	 99.741724 	 109.028274
9:13:10.753 PM 10/14/2022 	 3.986987 	 297.647000 	 44.546000 	 -86.393578 	 4.023110 	 297.647000 	 44.546000 	 -86.393578 	 99.740592 	 109.028334
9:13:23.003 PM 10/14/2022 	 3.993518 	 297.647000 	 44.546000 	 -87.020153 	 4.020482 	 297.647000 	 44.546000 	 -87.020153 	 99.739341 	 109.028274
9:13:35.253 PM 10/14/2022 	 3.994490 	 297.647000 	 44.546000 	 -87.992678 	 4.015192 	 297.647000 	 44.546000 	 -87.992678 	 99.737495 	 109.028751
9:13:47.253 PM 10/14/2022 	 4.001166 	 297.647000 	 44.546000 	 -86.946312 	 4.006889 	 297.647000 	 44.546000 	 -86.946312 	 99.736483 	 109.028334
9:13:59.753 PM 10/14/2022 	 3.994618 	 297.647000 	 44.546000 	 -87.631755 	 4.007489 	 297.647000 	 44.546000 	 -87.631755 	 99.735113 	 109.028870
9:14:12.003 PM 10/14/2022 	 3.999042 	 297.647000 	 44.546000 	 -87.311206 	 4.013888 	 297.647000 	 44.546000 	 -87.311206 	 99.733743 	 109.028512
9:14:24.254 PM 10/14/2022 	 3.998955 	 297.647000 	 44.546000 	 -86.233815 	 4.024812 	 297.647000 	 44.546000 	 -86.233815 	 99.732313 	 109.027976
9:14:36.503 PM 10/14/2022 	 3.996160 	 297.647000 	 44.546000 	 -86.821652 	 4.026829 	 297.647000 	 44.546000 	 -86.821652 	 99.731420 	 109.028393
9:14:48.753 PM 10/14/2022 	 3.994234 	 297.647000 	 44.546000 	 -87.245819 	 4.010879 	 297.647000 	 44.546000 	 -87.245819 	 99.729574 	 109.028095
9:15:01.003 PM 10/14/2022 	 3.988587 	 297.647000 	 44.546000 	 -86.633310 	 4.021285 	 297.647000 	 44.546000 	 -86.633310 	 99.727966 	 109.027917
9:15:13.253 PM 10/14/2022 	 3.994702 	 297.647000 	 44.546000 	 -87.297775 	 4.012765 	 297.647000 	 44.546000 	 -87.297775 	 99.727429 	 109.027857
9:15:25.503 PM 10/14/2022 	 3.997486 	 297.647000 	 44.546000 	 -87.009072 	 4.020409 	 297.647000 	 44.546000 	 -87.009072 	 99.725702 	 109.027500
9:15:37.753 PM 10/14/2022 	 3.986443 	 297.647000 	 44.546000 	 -88.058215 	 4.013827 	 297.647000 	 44.546000 	 -88.058215 	 99.723796 	 109.027917
9:15:50.003 PM 10/14/2022 	 3.997320 	 297.647000 	 44.546000 	 -86.324005 	 4.011909 	 297.647000 	 44.546000 	 -86.324005 	 99.722724 	 109.027381
9:16:02.503 PM 10/14/2022 	 3.995371 	 297.647000 	 44.546000 	 -88.228374 	 4.019621 	 297.647000 	 44.546000 	 -88.228374 	 99.720937 	 109.027083
9:16:14.753 PM 10/14/2022 	 3.997815 	 297.647000 	 44.546000 	 -87.119520 	 4.015515 	 297.647000 	 44.546000 	 -87.119520 	 99.719389 	 109.027440
9:16:27.253 PM 10/14/2022 	 4.002533 	 297.647000 	 44.546000 	 -87.522726 	 4.006444 	 297.647000 	 44.546000 	 -87.522726 	 99.718257 	 109.027440
9:16:39.753 PM 10/14/2022 	 4.003630 	 297.647000 	 44.546000 	 -86.536082 	 4.014097 	 297.647000 	 44.546000 	 -86.536082 	 99.716649 	 109.027559
9:16:52.254 PM 10/14/2022 	 3.993466 	 297.647000 	 44.546000 	 -87.818259 	 4.009002 	 297.647000 	 44.546000 	 -87.818259 	 99.715279 	 109.027202
9:17:04.754 PM 10/14/2022 	 3.991581 	 297.647000 	 44.546000 	 -88.451345 	 4.016501 	 297.647000 	 44.546000 	 -88.451345 	 99.713909 	 109.027559
9:17:17.253 PM 10/14/2022 	 3.999453 	 297.647000 	 44.546000 	 -86.776805 	 4.016696 	 297.647000 	 44.546000 	 -86.776805 	 99.712301 	 109.027857
9:17:29.753 PM 10/14/2022 	 4.018099 	 297.647000 	 44.546000 	 -87.289672 	 4.015276 	 297.647000 	 44.546000 	 -87.289672 	 99.710991 	 109.027023
9:17:42.003 PM 10/14/2022 	 4.002961 	 297.647000 	 44.546000 	 -88.525552 	 4.009820 	 297.647000 	 44.546000 	 -88.525552 	 99.709442 	 109.026725
9:17:54.503 PM 10/14/2022 	 3.992142 	 297.647000 	 44.546000 	 -87.225990 	 4.026291 	 297.647000 	 44.546000 	 -87.225990 	 99.708251 	 109.026785
9:18:07.003 PM 10/14/2022 	 4.000858 	 297.647000 	 44.546000 	 -87.622375 	 4.020738 	 297.647000 	 44.546000 	 -87.622375 	 99.706345 	 109.026428
9:18:19.503 PM 10/14/2022 	 3.999997 	 297.647000 	 44.546000 	 -89.693408 	 4.031732 	 297.647000 	 44.546000 	 -89.693408 	 99.705094 	 109.026249
9:18:32.003 PM 10/14/2022 	 3.991907 	 297.647000 	 44.546000 	 -89.647844 	 4.011705 	 297.647000 	 44.546000 	 -89.647844 	 99.703903 	 109.025772
9:18:44.253 PM 10/14/2022 	 3.999115 	 297.647000 	 44.546000 	 -88.065962 	 4.012113 	 297.647000 	 44.546000 	 -88.065962 	 99.702116 	 109.026368
9:18:56.753 PM 10/14/2022 	 4.008130 	 297.647000 	 44.546000 	 -87.587761 	 4.020191 	 297.647000 	 44.546000 	 -87.587761 	 99.700568 	 109.026308
