12:01:37.719 PM 9/20/2022 	 109.243094 	 296.777166 	 109.059308 	 296.325609 	 295.034208 	 294.105703 	 294.695196 	 294.049500 
12:01:44.933 PM 9/20/2022 	 109.242974 	 296.776860 	 109.059189 	 296.325302 	 295.006012 	 294.086897 	 294.693866 	 294.031636 
12:01:52.098 PM 9/20/2022 	 109.242379 	 296.775327 	 109.058891 	 296.324536 	 294.998716 	 294.126342 	 294.703545 	 294.073919 
12:01:59.318 PM 9/20/2022 	 109.241962 	 296.774254 	 109.058593 	 296.323769 	 295.032458 	 294.106311 	 294.688728 	 294.056721 
12:02:06.522 PM 9/20/2022 	 109.240830 	 296.771341 	 109.058116 	 296.322543 	 295.054552 	 294.116170 	 294.696688 	 294.046271 
12:02:13.702 PM 9/20/2022 	 109.240056 	 296.769349 	 109.057878 	 296.321929 	 295.047072 	 294.097341 	 294.664202 	 294.046332 
12:02:20.932 PM 9/20/2022 	 109.239460 	 296.767816 	 109.057044 	 296.319783 	 295.013747 	 294.102676 	 294.687927 	 294.032302 
12:02:28.118 PM 9/20/2022 	 109.238507 	 296.765363 	 109.056329 	 296.317943 	 295.027340 	 294.111101 	 294.675588 	 294.052537 
12:02:35.317 PM 9/20/2022 	 109.237614 	 296.763064 	 109.055317 	 296.315337 	 295.042300 	 294.108144 	 294.679238 	 294.034465 
12:02:42.519 PM 9/20/2022 	 109.237018 	 296.761531 	 109.054900 	 296.314264 	 295.041121 	 294.119242 	 294.670983 	 294.030450 
12:02:49.732 PM 9/20/2022 	 109.235887 	 296.758618 	 109.054721 	 296.313804 	 294.922775 	 294.086628 	 294.669540 	 294.008221 
12:02:56.929 PM 9/20/2022 	 109.235113 	 296.756625 	 109.054006 	 296.311964 	 294.991765 	 294.101905 	 294.691874 	 294.038616 
12:03:04.136 PM 9/20/2022 	 109.234160 	 296.754173 	 109.053411 	 296.310431 	 295.052948 	 294.086699 	 294.696970 	 294.045609 
12:03:11.335 PM 9/20/2022 	 109.234100 	 296.754020 	 109.052696 	 296.308591 	 295.051387 	 294.112527 	 294.709558 	 294.054435 
12:03:18.523 PM 9/20/2022 	 109.232909 	 296.750954 	 109.052696 	 296.308591 	 295.066585 	 294.089030 	 294.695052 	 294.009207 
12:03:25.726 PM 9/20/2022 	 109.232135 	 296.748961 	 109.051802 	 296.306291 	 295.064147 	 294.107839 	 294.683178 	 294.051163 
12:03:32.928 PM 9/20/2022 	 109.230526 	 296.744822 	 109.050969 	 296.304145 	 295.085967 	 294.124508 	 294.702185 	 294.068307 
12:03:40.138 PM 9/20/2022 	 109.228918 	 296.740683 	 109.050373 	 296.302612 	 295.095908 	 294.094328 	 294.691381 	 294.023008 
12:03:47.306 PM 9/20/2022 	 109.227370 	 296.736698 	 109.049122 	 296.299392 	 295.079553 	 294.108164 	 294.714633 	 294.050072 
12:03:54.513 PM 9/20/2022 	 109.224987 	 296.730566 	 109.048050 	 296.296632 	 295.054868 	 294.110348 	 294.690401 	 294.027694 
12:04:01.724 PM 9/20/2022 	 109.222784 	 296.724895 	 109.047037 	 296.294026 	 295.047659 	 294.074314 	 294.717618 	 294.033695 
12:04:08.934 PM 9/20/2022 	 109.220997 	 296.720296 	 109.046025 	 296.291419 	 295.077740 	 294.120988 	 294.731213 	 294.057702 
12:04:16.140 PM 9/20/2022 	 109.218317 	 296.713398 	 109.044595 	 296.287740 	 294.987633 	 294.079818 	 294.663211 	 294.016526 
12:04:23.329 PM 9/20/2022 	 109.215875 	 296.707113 	 109.043404 	 296.284674 	 294.958940 	 294.088381 	 294.673178 	 294.038316 
12:04:30.538 PM 9/20/2022 	 109.214028 	 296.702361 	 109.042451 	 296.282221 	 294.936828 	 294.096455 	 294.691619 	 294.029859 
12:04:37.738 PM 9/20/2022 	 109.211169 	 296.695003 	 109.041736 	 296.280381 	 294.980307 	 294.087591 	 294.692672 	 294.040360 
12:04:44.954 PM 9/20/2022 	 109.209919 	 296.691784 	 109.039949 	 296.275781 	 295.003156 	 294.117095 	 294.713648 	 294.052863 
12:04:52.132 PM 9/20/2022 	 109.208251 	 296.687492 	 109.039175 	 296.273788 	 295.023254 	 294.107479 	 294.683290 	 294.023880 
12:04:59.345 PM 9/20/2022 	 109.206822 	 296.683813 	 109.038519 	 296.272102 	 295.059847 	 294.095029 	 294.676516 	 294.046382 
12:05:06.510 PM 9/20/2022 	 109.205571 	 296.680594 	 109.037566 	 296.269649 	 295.008157 	 294.095187 	 294.687994 	 294.034731 
12:05:13.719 PM 9/20/2022 	 109.203665 	 296.675689 	 109.036256 	 296.266276 	 295.033368 	 294.109585 	 294.698129 	 294.027876 
12:05:20.904 PM 9/20/2022 	 109.202116 	 296.671704 	 109.035362 	 296.263976 	 295.009087 	 294.106509 	 294.681850 	 294.014407 
